record_number,date_time,recorded_speeds
4,2022/07/11 21:08,34
5,2022/07/11 21:09,49
5,2022/07/11 21:09,51
6,2022/07/11 21:11,36
7,2022/07/11 21:13,39
7,2022/07/11 21:13,40
8,2022/07/11 21:14,25
8,2022/07/11 21:14,35
9,2022/07/11 21:16,37
10,2022/07/11 21:16,40
11,2022/07/11 21:23,37
11,2022/07/11 21:23,38
11,2022/07/11 21:23,53
12,2022/07/11 21:24,32
13,2022/07/11 21:30,38
14,2022/07/11 21:32,45
15,2022/07/11 21:35,37
16,2022/07/11 21:39,39
17,2022/07/11 21:41,52
18,2022/07/11 21:46,39
18,2022/07/11 21:46,42
19,2022/07/11 21:49,33
20,2022/07/11 22:05,49
21,2022/07/11 22:06,47
22,2022/07/11 22:09,34
23,2022/07/11 22:12,39
24,2022/07/11 22:13,50
24,2022/07/11 22:13,59
25,2022/07/11 22:14,44
26,2022/07/11 22:24,38
27,2022/07/11 22:29,42
28,2022/07/11 22:33,38
28,2022/07/11 22:33,51
29,2022/07/11 22:52,50
30,2022/07/11 23:02,46
31,2022/07/11 23:20,44
32,2022/07/11 23:31,52
33,2022/07/11 23:49,35
