record_number,date_time,recorded_speeds
4,2022/07/07 20:56,37
4,2022/07/07 20:56,42
5,2022/07/07 20:58,42
6,2022/07/07 20:59,45
7,2022/07/07 21:00,40
7,2022/07/07 21:00,47
8,2022/07/07 21:05,23
8,2022/07/07 21:05,49
9,2022/07/07 21:06,33
9,2022/07/07 21:06,36
10,2022/07/07 21:08,43
10,2022/07/07 21:08,51
11,2022/07/07 21:08,46
12,2022/07/07 21:11,37
13,2022/07/07 21:12,36
14,2022/07/07 21:13,42
15,2022/07/07 21:14,47
16,2022/07/07 21:15,40
17,2022/07/07 21:18,45
18,2022/07/07 21:19,39
19,2022/07/07 21:20,28
19,2022/07/07 21:20,43
20,2022/07/07 21:21,53
21,2022/07/07 21:23,38
22,2022/07/07 21:23,38
23,2022/07/07 21:24,50
24,2022/07/07 21:26,40
24,2022/07/07 21:26,43
25,2022/07/07 21:30,31
26,2022/07/07 21:38,32
27,2022/07/07 21:59,47
28,2022/07/07 22:04,36
29,2022/07/07 22:10,41
30,2022/07/07 22:15,41
31,2022/07/07 22:19,28
31,2022/07/07 22:19,29
32,2022/07/07 22:29,35
33,2022/07/07 22:53,40
34,2022/07/07 22:54,41
35,2022/07/07 22:58,43
36,2022/07/07 23:08,43
37,2022/07/07 23:12,41
38,2022/07/07 23:19,49
39,2022/07/07 23:27,41
40,2022/07/07 23:37,40
41,2022/07/07 23:54,33
41,2022/07/07 23:54,44
