,record_number,date_time,recorded_speeds
0,4,2022/07/05 23:15,40
1,5,2022/07/05 23:18,50
2,6,2022/07/05 23:34,52
3,7,2022/07/05 23:44,55
4,8,2022/07/05 23:46,40
5,9,2022/07/05 23:52,47
6,10,2022/07/05 23:57,50
7,11,2022/07/06 00:00,42
8,12,2022/07/06 00:11,39
9,13,2022/07/06 00:26,49
10,14,2022/07/06 00:35,54
11,15,2022/07/06 00:39,43
12,16,2022/07/06 00:51,60
13,17,2022/07/06 00:52,47
14,18,2022/07/06 00:57,53
15,19,2022/07/06 01:25,30
16,20,2022/07/06 02:50,38
17,21,2022/07/06 03:29,49
18,22,2022/07/06 03:29,36
19,23,2022/07/06 03:45,53
20,24,2022/07/06 04:02,56
21,25,2022/07/06 04:03,57
22,26,2022/07/06 04:14,58
23,27,2022/07/06 04:15,40
24,28,2022/07/06 04:25,41
25,29,2022/07/06 04:25,43
26,30,2022/07/06 04:28,59
27,31,2022/07/06 04:31,53
28,32,2022/07/06 04:32,44
29,33,2022/07/06 04:34,51
30,34,2022/07/06 04:37,49
31,35,2022/07/06 04:37,39
32,36,2022/07/06 04:38,53
33,37,2022/07/06 04:39,48
34,38,2022/07/06 04:46,51
35,39,2022/07/06 04:47,54
36,40,2022/07/06 04:48,38
37,41,2022/07/06 04:49,31
38,42,2022/07/06 04:51,40
39,43,2022/07/06 04:52,40
40,44,2022/07/06 04:53,50
41,45,2022/07/06 04:54,65
42,46,2022/07/06 04:56,55
43,47,2022/07/06 04:58,39
44,48,2022/07/06 04:59,47
45,49,2022/07/06 05:00,42
46,50,2022/07/06 05:02,41
47,50,2022/07/06 05:02,50
48,50,2022/07/06 05:02,56
49,51,2022/07/06 05:06,44
50,52,2022/07/06 05:08,51
51,53,2022/07/06 05:10,45
52,54,2022/07/06 05:10,47
53,55,2022/07/06 05:11,40
54,56,2022/07/06 05:13,47
55,57,2022/07/06 05:13,51
56,58,2022/07/06 05:13,53
57,58,2022/07/06 05:13,58
58,59,2022/07/06 05:19,44
59,60,2022/07/06 05:20,57
60,60,2022/07/06 05:20,60
61,61,2022/07/06 05:20,40
62,61,2022/07/06 05:20,52
63,62,2022/07/06 05:22,49
64,62,2022/07/06 05:22,54
65,63,2022/07/06 05:23,48
66,64,2022/07/06 05:24,56
67,65,2022/07/06 05:24,39
68,65,2022/07/06 05:24,59
69,66,2022/07/06 05:25,45
70,66,2022/07/06 05:25,47
71,67,2022/07/06 05:27,45
72,68,2022/07/06 05:31,60
73,69,2022/07/06 05:32,44
74,70,2022/07/06 05:34,59
75,71,2022/07/06 05:35,49
76,72,2022/07/06 05:35,50
77,73,2022/07/06 05:35,39
78,73,2022/07/06 05:35,43
79,74,2022/07/06 05:37,49
80,75,2022/07/06 05:37,44
81,75,2022/07/06 05:37,52
82,76,2022/07/06 05:39,56
83,77,2022/07/06 05:39,44
84,78,2022/07/06 05:41,54
85,78,2022/07/06 05:41,58
86,79,2022/07/06 05:42,58
87,80,2022/07/06 05:43,42
88,80,2022/07/06 05:43,46
89,81,2022/07/06 05:45,44
90,81,2022/07/06 05:45,47
91,82,2022/07/06 05:46,41
92,82,2022/07/06 05:46,59
93,83,2022/07/06 05:47,37
94,83,2022/07/06 05:47,55
95,84,2022/07/06 05:48,54
96,84,2022/07/06 05:48,67
97,85,2022/07/06 05:49,58
98,86,2022/07/06 05:50,58
99,87,2022/07/06 05:52,46
100,88,2022/07/06 05:52,43
101,89,2022/07/06 05:54,48
102,90,2022/07/06 05:54,40
103,91,2022/07/06 05:56,42
104,92,2022/07/06 05:56,53
105,92,2022/07/06 05:56,54
106,92,2022/07/06 05:56,57
107,93,2022/07/06 05:57,27
108,93,2022/07/06 05:57,41
109,94,2022/07/06 05:57,54
110,95,2022/07/06 05:58,36
111,96,2022/07/06 05:59,40
112,96,2022/07/06 05:59,40
113,97,2022/07/06 06:01,56
114,98,2022/07/06 06:03,42
115,99,2022/07/06 06:03,33
116,99,2022/07/06 06:03,37
117,100,2022/07/06 06:04,49
118,101,2022/07/06 06:04,41
119,101,2022/07/06 06:04,45
120,101,2022/07/06 06:04,46
121,102,2022/07/06 06:05,47
122,103,2022/07/06 06:05,46
123,103,2022/07/06 06:05,46
124,103,2022/07/06 06:05,50
125,104,2022/07/06 06:06,36
126,105,2022/07/06 06:08,48
127,106,2022/07/06 06:09,40
128,106,2022/07/06 06:09,43
129,107,2022/07/06 06:09,38
130,108,2022/07/06 06:10,47
131,109,2022/07/06 06:25,24
132,109,2022/07/06 06:25,37
133,110,2022/07/06 06:25,38
134,111,2022/07/06 06:26,44
135,111,2022/07/06 06:26,47
136,112,2022/07/06 06:27,35
137,112,2022/07/06 06:27,37
138,112,2022/07/06 06:27,43
139,112,2022/07/06 06:27,46
140,113,2022/07/06 06:27,46
141,114,2022/07/06 06:28,46
142,114,2022/07/06 06:28,52
143,115,2022/07/06 06:29,44
144,116,2022/07/06 06:29,36
145,116,2022/07/06 06:29,37
146,116,2022/07/06 06:29,38
147,116,2022/07/06 06:29,41
148,116,2022/07/06 06:29,50
149,116,2022/07/06 06:29,52
150,117,2022/07/06 06:30,41
151,118,2022/07/06 06:31,46
152,118,2022/07/06 06:31,53
153,119,2022/07/06 06:31,53
154,120,2022/07/06 06:32,37
155,121,2022/07/06 06:32,44
156,121,2022/07/06 06:32,51
157,121,2022/07/06 06:32,52
158,122,2022/07/06 06:33,40
159,122,2022/07/06 06:33,60
160,123,2022/07/06 06:34,37
161,123,2022/07/06 06:34,41
162,123,2022/07/06 06:34,42
163,123,2022/07/06 06:34,46
164,123,2022/07/06 06:34,53
165,124,2022/07/06 06:35,36
166,125,2022/07/06 06:35,35
167,125,2022/07/06 06:35,38
168,125,2022/07/06 06:35,50
169,126,2022/07/06 06:35,35
170,127,2022/07/06 06:36,41
171,127,2022/07/06 06:36,45
172,127,2022/07/06 06:36,47
173,127,2022/07/06 06:36,52
174,128,2022/07/06 06:37,38
175,129,2022/07/06 06:37,38
176,129,2022/07/06 06:37,42
177,129,2022/07/06 06:37,43
178,130,2022/07/06 06:37,43
179,130,2022/07/06 06:37,43
180,130,2022/07/06 06:37,47
181,131,2022/07/06 06:38,47
182,132,2022/07/06 06:38,41
183,132,2022/07/06 06:38,43
184,133,2022/07/06 06:40,36
185,133,2022/07/06 06:40,39
186,134,2022/07/06 06:41,40
187,134,2022/07/06 06:41,51
188,135,2022/07/06 06:42,42
189,135,2022/07/06 06:42,43
190,135,2022/07/06 06:42,47
191,135,2022/07/06 06:42,54
192,136,2022/07/06 06:42,46
193,136,2022/07/06 06:42,49
194,137,2022/07/06 06:42,43
195,138,2022/07/06 06:43,42
196,139,2022/07/06 06:43,43
197,140,2022/07/06 06:44,42
198,141,2022/07/06 06:44,39
199,142,2022/07/06 06:44,40
200,142,2022/07/06 06:44,52
201,143,2022/07/06 06:45,43
202,143,2022/07/06 06:45,44
203,143,2022/07/06 06:45,48
204,144,2022/07/06 06:45,44
205,145,2022/07/06 06:46,40
206,145,2022/07/06 06:46,48
207,146,2022/07/06 06:47,36
208,146,2022/07/06 06:47,41
209,147,2022/07/06 06:47,44
210,147,2022/07/06 06:47,45
211,147,2022/07/06 06:47,51
212,147,2022/07/06 06:47,52
213,148,2022/07/06 06:48,39
214,148,2022/07/06 06:48,44
215,148,2022/07/06 06:48,45
216,148,2022/07/06 06:48,45
217,148,2022/07/06 06:48,47
218,148,2022/07/06 06:48,53
219,149,2022/07/06 06:48,40
220,150,2022/07/06 06:49,39
221,150,2022/07/06 06:49,41
222,150,2022/07/06 06:49,45
223,150,2022/07/06 06:49,49
224,150,2022/07/06 06:49,49
225,151,2022/07/06 06:49,52
226,152,2022/07/06 06:50,39
227,152,2022/07/06 06:50,39
228,152,2022/07/06 06:50,49
229,152,2022/07/06 06:50,49
230,152,2022/07/06 06:50,54
231,153,2022/07/06 06:51,28
232,154,2022/07/06 06:51,43
233,154,2022/07/06 06:51,47
234,155,2022/07/06 06:52,36
235,155,2022/07/06 06:52,44
236,155,2022/07/06 06:52,47
237,156,2022/07/06 06:53,40
238,156,2022/07/06 06:53,46
239,156,2022/07/06 06:53,52
240,156,2022/07/06 06:53,59
241,157,2022/07/06 06:53,42
242,157,2022/07/06 06:53,43
243,158,2022/07/06 06:54,39
244,158,2022/07/06 06:54,40
245,158,2022/07/06 06:54,45
246,158,2022/07/06 06:54,46
247,159,2022/07/06 06:55,41
248,159,2022/07/06 06:55,47
249,160,2022/07/06 06:55,27
250,161,2022/07/06 06:56,40
251,162,2022/07/06 06:57,40
252,162,2022/07/06 06:57,41
253,162,2022/07/06 06:57,42
254,162,2022/07/06 06:57,44
255,162,2022/07/06 06:57,44
256,162,2022/07/06 06:57,48
257,162,2022/07/06 06:57,51
258,163,2022/07/06 06:58,40
259,163,2022/07/06 06:58,42
260,163,2022/07/06 06:58,52
261,163,2022/07/06 06:58,56
262,164,2022/07/06 06:59,38
263,164,2022/07/06 06:59,43
264,164,2022/07/06 06:59,46
265,165,2022/07/06 07:00,32
266,165,2022/07/06 07:00,39
267,165,2022/07/06 07:00,44
268,166,2022/07/06 07:01,28
269,167,2022/07/06 07:01,28
270,168,2022/07/06 07:02,42
271,169,2022/07/06 07:02,42
272,169,2022/07/06 07:02,45
273,169,2022/07/06 07:02,48
274,170,2022/07/06 07:02,43
275,171,2022/07/06 07:03,38
276,171,2022/07/06 07:03,46
277,171,2022/07/06 07:03,50
278,172,2022/07/06 07:04,46
279,172,2022/07/06 07:04,49
280,172,2022/07/06 07:04,54
281,173,2022/07/06 07:05,40
282,173,2022/07/06 07:05,45
283,173,2022/07/06 07:05,46
284,173,2022/07/06 07:05,48
285,173,2022/07/06 07:05,49
286,173,2022/07/06 07:05,53
287,174,2022/07/06 07:06,44
288,174,2022/07/06 07:06,45
289,175,2022/07/06 07:07,43
290,176,2022/07/06 07:09,38
291,176,2022/07/06 07:09,41
292,177,2022/07/06 07:10,32
293,178,2022/07/06 07:11,43
294,178,2022/07/06 07:11,54
295,179,2022/07/06 07:11,44
296,179,2022/07/06 07:11,52
297,180,2022/07/06 07:12,32
298,180,2022/07/06 07:12,41
299,180,2022/07/06 07:12,43
300,180,2022/07/06 07:12,50
301,180,2022/07/06 07:12,50
302,181,2022/07/06 07:13,42
303,182,2022/07/06 07:14,38
304,182,2022/07/06 07:14,44
305,182,2022/07/06 07:14,47
306,182,2022/07/06 07:14,47
307,183,2022/07/06 07:14,39
308,184,2022/07/06 07:15,37
309,185,2022/07/06 07:15,51
310,186,2022/07/06 07:18,41
311,187,2022/07/06 07:18,41
312,187,2022/07/06 07:18,57
313,188,2022/07/06 07:19,50
314,188,2022/07/06 07:19,54
315,189,2022/07/06 07:20,41
316,189,2022/07/06 07:20,45
317,189,2022/07/06 07:20,46
318,190,2022/07/06 07:22,28
319,190,2022/07/06 07:22,28
320,190,2022/07/06 07:22,43
321,190,2022/07/06 07:22,46
322,191,2022/07/06 07:23,33
323,192,2022/07/06 07:23,27
324,192,2022/07/06 07:23,50
325,193,2022/07/06 07:24,51
326,193,2022/07/06 07:24,52
327,194,2022/07/06 07:24,40
328,194,2022/07/06 07:24,45
329,194,2022/07/06 07:24,46
330,195,2022/07/06 07:25,43
331,195,2022/07/06 07:25,48
332,196,2022/07/06 07:26,41
333,196,2022/07/06 07:26,48
334,196,2022/07/06 07:26,48
335,197,2022/07/06 07:27,39
336,197,2022/07/06 07:27,42
337,198,2022/07/06 07:28,35
338,199,2022/07/06 07:28,41
339,200,2022/07/06 07:28,52
340,201,2022/07/06 07:29,28
341,202,2022/07/06 07:29,43
342,203,2022/07/06 07:29,36
343,204,2022/07/06 07:30,44
344,205,2022/07/06 07:30,47
345,206,2022/07/06 07:31,43
346,206,2022/07/06 07:31,45
347,207,2022/07/06 07:31,34
348,208,2022/07/06 07:32,38
349,208,2022/07/06 07:32,49
350,209,2022/07/06 07:33,49
351,210,2022/07/06 07:34,36
352,211,2022/07/06 07:35,44
353,212,2022/07/06 07:36,45
354,212,2022/07/06 07:36,61
355,213,2022/07/06 07:37,37
