,record_number,date_time,recorded_speeds
0,4,2022/07/06 23:58,31
1,5,2022/07/07 00:02,39
2,6,2022/07/07 00:17,52
3,7,2022/07/07 01:44,40
4,8,2022/07/07 01:55,31
5,9,2022/07/07 02:05,47
6,10,2022/07/07 02:33,43
7,11,2022/07/07 02:53,46
8,12,2022/07/07 03:04,59
9,13,2022/07/07 03:05,53
10,14,2022/07/07 03:21,34
11,15,2022/07/07 03:29,46
12,16,2022/07/07 03:39,45
13,17,2022/07/07 03:43,28
14,18,2022/07/07 03:48,53
15,19,2022/07/07 03:56,46
16,20,2022/07/07 03:58,51
17,21,2022/07/07 03:58,43
18,22,2022/07/07 04:01,46
19,23,2022/07/07 04:02,50
20,24,2022/07/07 04:03,47
21,25,2022/07/07 04:08,44
22,26,2022/07/07 04:10,47
23,27,2022/07/07 04:11,40
24,28,2022/07/07 04:12,39
25,29,2022/07/07 04:14,46
26,30,2022/07/07 04:14,47
27,31,2022/07/07 04:15,45
28,32,2022/07/07 04:17,40
29,33,2022/07/07 04:19,36
30,33,2022/07/07 04:19,46
31,34,2022/07/07 04:21,47
32,35,2022/07/07 04:23,54
33,36,2022/07/07 04:26,32
34,37,2022/07/07 04:27,44
35,38,2022/07/07 04:28,40
36,38,2022/07/07 04:28,47
37,39,2022/07/07 04:30,52
38,40,2022/07/07 04:32,36
39,41,2022/07/07 04:33,50
40,42,2022/07/07 04:36,48
41,43,2022/07/07 04:37,42
42,43,2022/07/07 04:37,45
43,43,2022/07/07 04:37,47
44,44,2022/07/07 04:38,37
45,45,2022/07/07 04:39,53
46,46,2022/07/07 04:41,42
47,46,2022/07/07 04:41,48
48,47,2022/07/07 04:42,41
49,48,2022/07/07 04:43,53
50,49,2022/07/07 04:44,55
51,50,2022/07/07 04:44,39
52,51,2022/07/07 04:46,41
53,51,2022/07/07 04:46,52
54,52,2022/07/07 04:47,36
55,52,2022/07/07 04:47,47
56,52,2022/07/07 04:47,51
57,53,2022/07/07 04:48,31
58,54,2022/07/07 04:48,33
59,54,2022/07/07 04:48,44
60,55,2022/07/07 04:50,38
61,56,2022/07/07 04:50,38
62,57,2022/07/07 04:52,32
63,57,2022/07/07 04:52,49
64,58,2022/07/07 04:53,45
65,59,2022/07/07 04:54,47
66,60,2022/07/07 04:55,51
67,61,2022/07/07 04:57,40
68,62,2022/07/07 04:57,51
69,63,2022/07/07 04:57,46
70,64,2022/07/07 04:58,50
71,65,2022/07/07 04:59,35
72,66,2022/07/07 04:59,41
73,66,2022/07/07 04:59,49
74,67,2022/07/07 04:59,44
75,68,2022/07/07 05:00,45
76,69,2022/07/07 05:01,43
77,69,2022/07/07 05:01,57
78,70,2022/07/07 05:01,50
79,71,2022/07/07 05:02,39
80,71,2022/07/07 05:02,43
81,71,2022/07/07 05:02,47
82,72,2022/07/07 05:02,50
83,73,2022/07/07 05:03,34
84,74,2022/07/07 05:03,41
85,74,2022/07/07 05:03,44
86,74,2022/07/07 05:03,45
87,75,2022/07/07 05:03,37
88,76,2022/07/07 05:04,41
