record_number,date_time,recorded_speeds
4,2022/07/12 20:33,35
5,2022/07/12 20:45,42
6,2022/07/12 20:46,19
7,2022/07/12 20:48,42
8,2022/07/12 20:53,43
9,2022/07/12 20:56,38
10,2022/07/12 20:57,39
10,2022/07/12 20:57,44
11,2022/07/12 21:00,42
12,2022/07/12 21:02,35
13,2022/07/12 21:03,39
13,2022/07/12 21:03,46
14,2022/07/12 21:06,52
15,2022/07/12 21:07,45
16,2022/07/12 21:18,42
17,2022/07/12 21:20,27
18,2022/07/12 21:22,36
19,2022/07/12 21:24,32
20,2022/07/12 21:26,44
21,2022/07/12 21:28,40
22,2022/07/12 21:30,36
23,2022/07/12 21:33,39
24,2022/07/12 21:43,47
25,2022/07/12 21:44,42
26,2022/07/12 21:48,37
27,2022/07/12 21:53,35
27,2022/07/12 21:53,51
28,2022/07/12 21:57,46
29,2022/07/12 21:58,38
30,2022/07/12 22:11,49
31,2022/07/12 22:16,49
32,2022/07/12 22:17,31
33,2022/07/12 22:21,37
34,2022/07/12 22:26,45
35,2022/07/12 22:32,27
36,2022/07/12 22:32,36
37,2022/07/12 22:34,40
38,2022/07/12 22:37,40
39,2022/07/12 22:41,53
40,2022/07/12 22:42,41
41,2022/07/12 23:28,43
42,2022/07/12 23:42,39
43,2022/07/13 00:09,44
44,2022/07/13 00:28,40
45,2022/07/13 00:34,48
46,2022/07/13 01:05,35
47,2022/07/13 01:12,51
48,2022/07/13 01:19,34
49,2022/07/13 01:59,36
49,2022/07/13 01:59,57
50,2022/07/13 02:06,42
51,2022/07/13 02:11,43
52,2022/07/13 02:40,39
53,2022/07/13 02:41,48
54,2022/07/13 02:52,43
55,2022/07/13 02:56,47
56,2022/07/13 02:58,47
57,2022/07/13 02:58,37
58,2022/07/13 03:01,42
59,2022/07/13 03:05,45
60,2022/07/13 03:08,47
61,2022/07/13 03:27,49
62,2022/07/13 03:32,48
63,2022/07/13 03:44,45
64,2022/07/13 03:48,44
65,2022/07/13 03:53,28
66,2022/07/13 03:54,50
67,2022/07/13 03:57,50
68,2022/07/13 04:01,58
69,2022/07/13 04:04,45
69,2022/07/13 04:04,47
70,2022/07/13 04:08,44
70,2022/07/13 04:08,48
71,2022/07/13 04:10,41
72,2022/07/13 04:11,41
73,2022/07/13 04:12,46
74,2022/07/13 04:17,54
74,2022/07/13 04:17,55
75,2022/07/13 04:18,45
76,2022/07/13 04:21,41
76,2022/07/13 04:21,47
77,2022/07/13 04:23,40
77,2022/07/13 04:23,44
78,2022/07/13 04:24,46
79,2022/07/13 04:28,49
80,2022/07/13 04:29,50
80,2022/07/13 04:29,55
81,2022/07/13 04:31,48
82,2022/07/13 04:33,50
82,2022/07/13 04:33,53
82,2022/07/13 04:33,60
83,2022/07/13 04:34,41
84,2022/07/13 04:34,52
85,2022/07/13 04:35,48
86,2022/07/13 04:37,46
87,2022/07/13 04:37,58
88,2022/07/13 04:39,46
88,2022/07/13 04:39,55
89,2022/07/13 04:40,45
90,2022/07/13 04:42,36
91,2022/07/13 04:42,41
92,2022/07/13 04:43,41
93,2022/07/13 04:45,50
94,2022/07/13 04:46,36
94,2022/07/13 04:46,49
94,2022/07/13 04:46,49
95,2022/07/13 04:47,34
95,2022/07/13 04:47,38
95,2022/07/13 04:47,45
95,2022/07/13 04:47,47
96,2022/07/13 04:48,43
97,2022/07/13 04:48,38
97,2022/07/13 04:48,49
97,2022/07/13 04:48,55
98,2022/07/13 04:50,49
98,2022/07/13 04:50,51
99,2022/07/13 04:50,47
100,2022/07/13 04:51,36
100,2022/07/13 04:51,48
100,2022/07/13 04:51,48
100,2022/07/13 04:51,49
101,2022/07/13 04:52,35
102,2022/07/13 04:53,38
102,2022/07/13 04:53,41
103,2022/07/13 04:53,50
104,2022/07/13 04:54,47
105,2022/07/13 04:55,44
105,2022/07/13 04:55,49
106,2022/07/13 04:56,59
107,2022/07/13 04:57,46
108,2022/07/13 04:58,44
109,2022/07/13 04:58,46
109,2022/07/13 04:58,51
109,2022/07/13 04:58,51
110,2022/07/13 04:59,42
111,2022/07/13 04:59,45
112,2022/07/13 04:59,47
113,2022/07/13 05:00,38
113,2022/07/13 05:00,41
114,2022/07/13 05:01,40
115,2022/07/13 05:01,42
115,2022/07/13 05:01,45
116,2022/07/13 05:02,38
117,2022/07/13 05:02,43
