,record_number,date_time,recorded_speeds
0,13410,2022/07/03 00:07,48
1,13411,2022/07/03 00:13,49
2,13412,2022/07/03 00:14,46
3,13413,2022/07/03 00:16,49
4,13414,2022/07/03 00:24,37
5,13415,2022/07/03 00:24,41
6,13416,2022/07/03 00:34,46
7,13417,2022/07/03 00:36,46
8,13418,2022/07/03 00:38,65
9,13419,2022/07/03 00:39,72
10,13420,2022/07/03 01:00,49
11,13421,2022/07/03 01:18,44
12,13422,2022/07/03 01:41,56
13,13423,2022/07/03 01:45,47
14,13423,2022/07/03 01:45,49
15,13424,2022/07/03 02:01,60
16,13425,2022/07/03 02:02,45
17,13426,2022/07/03 02:09,45
18,13427,2022/07/03 02:22,40
19,13428,2022/07/03 02:24,43
20,13429,2022/07/03 02:37,40
21,13430,2022/07/03 02:54,43
22,13431,2022/07/03 03:03,44
23,13432,2022/07/03 03:04,42
24,13433,2022/07/03 03:07,46
25,13434,2022/07/03 03:20,44
26,13435,2022/07/03 03:39,48
27,13436,2022/07/03 03:55,43
28,13437,2022/07/03 04:21,45
29,13438,2022/07/03 04:28,50
30,13439,2022/07/03 04:39,51
31,13440,2022/07/03 04:44,45
32,13441,2022/07/03 04:51,52
33,13442,2022/07/03 05:10,43
34,13443,2022/07/03 05:14,35
35,13444,2022/07/03 05:15,52
36,13445,2022/07/03 05:31,64
37,13446,2022/07/03 05:32,52
38,13447,2022/07/03 05:39,51
39,13448,2022/07/03 05:40,48
40,13449,2022/07/03 05:41,59
41,13450,2022/07/03 05:53,43
42,13451,2022/07/03 05:54,51
43,13452,2022/07/03 05:57,46
44,13453,2022/07/03 06:03,43
45,13454,2022/07/03 06:08,49
46,13455,2022/07/03 06:13,53
47,13456,2022/07/03 06:25,61
48,13457,2022/07/03 06:29,48
49,13458,2022/07/03 06:32,53
50,13459,2022/07/03 06:43,61
51,13460,2022/07/03 06:45,62
52,13461,2022/07/03 07:03,50
53,13461,2022/07/03 07:03,50
54,13462,2022/07/03 07:03,42
55,13463,2022/07/03 07:09,49
56,13463,2022/07/03 07:09,54
57,13464,2022/07/03 07:10,49
58,13465,2022/07/03 07:25,28
59,13466,2022/07/03 07:31,44
60,13467,2022/07/03 07:33,42
61,13468,2022/07/03 07:33,57
62,13469,2022/07/03 07:37,25
63,13469,2022/07/03 07:37,37
64,13469,2022/07/03 07:37,52
65,13470,2022/07/03 07:47,51
66,13471,2022/07/03 07:48,42
67,13472,2022/07/03 07:49,31
68,13473,2022/07/03 07:53,62
69,13474,2022/07/03 07:58,42
70,13475,2022/07/03 07:58,44
71,13476,2022/07/03 08:28,47
72,13477,2022/07/03 08:28,57
73,13478,2022/07/03 08:29,55
74,13479,2022/07/03 08:31,49
75,13480,2022/07/03 08:34,45
76,13481,2022/07/03 08:35,44
77,13482,2022/07/03 08:37,49
78,13483,2022/07/03 08:39,55
79,13484,2022/07/03 08:40,50
80,13485,2022/07/03 08:43,47
81,13485,2022/07/03 08:43,55
82,13486,2022/07/03 08:46,55
83,13487,2022/07/03 08:50,55
84,13488,2022/07/03 08:52,54
85,13489,2022/07/03 08:58,49
86,13490,2022/07/03 08:58,69
87,13491,2022/07/03 09:00,46
88,13492,2022/07/03 09:04,45
89,13493,2022/07/03 09:07,49
90,13494,2022/07/03 09:09,44
91,13495,2022/07/03 09:10,42
92,13496,2022/07/03 09:11,53
93,13497,2022/07/03 09:13,47
94,13498,2022/07/03 09:13,55
95,13499,2022/07/03 09:15,47
