record_number,date_time,recorded_speeds
4,2022/07/13 21:32,38
5,2022/07/13 21:33,46
6,2022/07/13 21:36,45
7,2022/07/13 21:37,40
7,2022/07/13 21:37,45
8,2022/07/13 21:38,42
9,2022/07/13 21:39,34
10,2022/07/13 21:41,31
11,2022/07/13 21:48,41
12,2022/07/13 21:49,44
13,2022/07/13 21:53,46
13,2022/07/13 21:53,49
14,2022/07/13 21:54,39
14,2022/07/13 21:54,41
15,2022/07/13 22:07,36
16,2022/07/13 22:11,49
17,2022/07/13 22:15,39
18,2022/07/13 22:17,42
19,2022/07/13 22:18,45
19,2022/07/13 22:18,50
20,2022/07/13 22:26,56
21,2022/07/13 22:33,43
22,2022/07/13 22:46,49
23,2022/07/13 22:50,49
24,2022/07/13 22:50,42
25,2022/07/13 23:05,42
26,2022/07/13 23:16,32
27,2022/07/13 23:34,53
28,2022/07/13 23:37,41
29,2022/07/13 23:42,42
30,2022/07/13 23:45,52
31,2022/07/13 23:50,45
32,2022/07/14 00:08,41
33,2022/07/14 00:08,56
34,2022/07/14 00:29,47
35,2022/07/14 01:06,56
36,2022/07/14 01:13,39
37,2022/07/14 01:19,55
38,2022/07/14 01:46,41
39,2022/07/14 02:20,31
40,2022/07/14 02:34,48
41,2022/07/14 02:44,47
42,2022/07/14 02:57,47
43,2022/07/14 03:00,48
44,2022/07/14 03:03,45
45,2022/07/14 03:09,38
46,2022/07/14 03:24,48
47,2022/07/14 03:30,40
48,2022/07/14 03:34,49
49,2022/07/14 03:36,46
50,2022/07/14 03:47,43
51,2022/07/14 03:54,55
52,2022/07/14 04:03,43
53,2022/07/14 04:08,44
53,2022/07/14 04:08,48
53,2022/07/14 04:08,56
54,2022/07/14 04:09,53
55,2022/07/14 04:10,49
56,2022/07/14 04:10,44
57,2022/07/14 04:11,48
58,2022/07/14 04:16,39
58,2022/07/14 04:16,52
59,2022/07/14 04:17,49
60,2022/07/14 04:20,44
60,2022/07/14 04:20,56
61,2022/07/14 04:27,46
62,2022/07/14 04:30,35
63,2022/07/14 04:31,44
64,2022/07/14 04:32,54
65,2022/07/14 04:32,41
65,2022/07/14 04:32,49
66,2022/07/14 04:33,48
67,2022/07/14 04:35,44
68,2022/07/14 04:36,50
69,2022/07/14 04:41,45
70,2022/07/14 04:41,48
71,2022/07/14 04:42,42
72,2022/07/14 04:42,52
73,2022/07/14 04:43,43
73,2022/07/14 04:43,47
73,2022/07/14 04:43,49
74,2022/07/14 04:43,53
75,2022/07/14 04:45,48
76,2022/07/14 04:46,41
76,2022/07/14 04:46,48
76,2022/07/14 04:46,50
77,2022/07/14 04:47,42
78,2022/07/14 04:48,37
79,2022/07/14 04:49,45
79,2022/07/14 04:49,49
79,2022/07/14 04:49,49
79,2022/07/14 04:49,51
80,2022/07/14 04:52,40
