record_number,date_time,recorded_speeds
4,2022/07/10 13:54,27
4,2022/07/10 13:54,37
4,2022/07/10 13:54,41
4,2022/07/10 13:54,47
5,2022/07/10 13:55,54
6,2022/07/10 13:56,44
7,2022/07/10 13:57,45
8,2022/07/10 13:58,32
9,2022/07/10 14:00,35
9,2022/07/10 14:00,39
9,2022/07/10 14:00,50
10,2022/07/10 14:05,27
10,2022/07/10 14:05,46
11,2022/07/10 14:06,43
12,2022/07/10 14:07,49
13,2022/07/10 14:08,43
14,2022/07/10 14:09,50
15,2022/07/10 14:10,53
16,2022/07/10 14:12,42
17,2022/07/10 14:15,45
18,2022/07/10 14:18,42
19,2022/07/10 14:19,38
20,2022/07/10 14:19,42
21,2022/07/10 14:20,40
22,2022/07/10 14:22,40
23,2022/07/10 14:25,42
24,2022/07/10 14:26,48
25,2022/07/10 14:27,38
26,2022/07/10 14:27,42
26,2022/07/10 14:27,44
27,2022/07/10 14:29,33
28,2022/07/10 14:30,48
29,2022/07/10 14:32,30
30,2022/07/10 14:34,36
30,2022/07/10 14:34,45
31,2022/07/10 14:34,50
32,2022/07/10 14:35,33
33,2022/07/10 14:36,42
34,2022/07/10 14:37,43
35,2022/07/10 14:39,40
36,2022/07/10 14:39,50
37,2022/07/10 14:40,41
38,2022/07/10 14:40,54
39,2022/07/10 14:41,43
40,2022/07/10 14:43,44
41,2022/07/10 14:44,45
41,2022/07/10 14:44,45
42,2022/07/10 14:45,46
43,2022/07/10 14:46,40
43,2022/07/10 14:46,43
43,2022/07/10 14:46,53
44,2022/07/10 14:47,43
44,2022/07/10 14:47,56
45,2022/07/10 14:50,49
46,2022/07/10 14:51,35
46,2022/07/10 14:51,37
46,2022/07/10 14:51,53
47,2022/07/10 14:54,41
48,2022/07/10 14:55,44
49,2022/07/10 14:57,21
49,2022/07/10 14:57,34
50,2022/07/10 15:01,34
51,2022/07/10 15:02,44
51,2022/07/10 15:02,45
52,2022/07/10 15:03,44
52,2022/07/10 15:03,52
53,2022/07/10 15:03,51
54,2022/07/10 15:04,42
55,2022/07/10 15:05,40
55,2022/07/10 15:05,45
55,2022/07/10 15:05,47
56,2022/07/10 15:05,38
57,2022/07/10 15:06,45
58,2022/07/10 15:07,43
59,2022/07/10 15:07,49
60,2022/07/10 15:08,43
60,2022/07/10 15:08,51
61,2022/07/10 15:12,40
62,2022/07/10 15:15,48
63,2022/07/10 15:15,51
64,2022/07/10 15:16,49
65,2022/07/10 15:19,39
65,2022/07/10 15:19,45
65,2022/07/10 15:19,48
66,2022/07/10 15:21,38
67,2022/07/10 15:22,51
68,2022/07/10 15:23,35
68,2022/07/10 15:23,58
69,2022/07/10 15:24,36
69,2022/07/10 15:24,39
69,2022/07/10 15:24,41
70,2022/07/10 15:26,49
71,2022/07/10 15:27,37
72,2022/07/10 15:30,45
72,2022/07/10 15:30,52
73,2022/07/10 15:32,40
74,2022/07/10 15:33,42
75,2022/07/10 15:34,46
76,2022/07/10 15:35,42
77,2022/07/10 15:36,40
78,2022/07/10 15:37,38
79,2022/07/10 15:37,48
80,2022/07/10 15:38,50
81,2022/07/10 15:39,33
82,2022/07/10 15:41,43
82,2022/07/10 15:41,50
83,2022/07/10 15:41,49
83,2022/07/10 15:41,58
84,2022/07/10 15:42,14
84,2022/07/10 15:42,16
85,2022/07/10 15:42,17
85,2022/07/10 15:42,19
85,2022/07/10 15:42,26
86,2022/07/10 15:43,36
87,2022/07/10 15:43,13
87,2022/07/10 15:43,14
87,2022/07/10 15:43,18
87,2022/07/10 15:43,21
88,2022/07/10 15:43,19
88,2022/07/10 15:43,23
88,2022/07/10 15:43,25
88,2022/07/10 15:43,27
88,2022/07/10 15:43,28
89,2022/07/10 15:44,26
89,2022/07/10 15:44,28
89,2022/07/10 15:44,29
89,2022/07/10 15:44,29
89,2022/07/10 15:44,29
89,2022/07/10 15:44,30
89,2022/07/10 15:44,30
89,2022/07/10 15:44,30
89,2022/07/10 15:44,32
89,2022/07/10 15:44,34
89,2022/07/10 15:44,34
89,2022/07/10 15:44,35
89,2022/07/10 15:44,36
89,2022/07/10 15:44,36
89,2022/07/10 15:44,38
89,2022/07/10 15:44,41
90,2022/07/10 15:45,46
91,2022/07/10 15:45,19
91,2022/07/10 15:45,22
91,2022/07/10 15:45,24
91,2022/07/10 15:45,26
91,2022/07/10 15:45,27
91,2022/07/10 15:45,27
91,2022/07/10 15:45,30
91,2022/07/10 15:45,31
91,2022/07/10 15:45,31
91,2022/07/10 15:45,33
91,2022/07/10 15:45,35
91,2022/07/10 15:45,35
91,2022/07/10 15:45,36
91,2022/07/10 15:45,38
92,2022/07/10 15:45,35
93,2022/07/10 15:46,38
94,2022/07/10 15:46,18
94,2022/07/10 15:46,18
94,2022/07/10 15:46,22
94,2022/07/10 15:46,23
94,2022/07/10 15:46,25
94,2022/07/10 15:46,25
94,2022/07/10 15:46,26
95,2022/07/10 15:46,19
95,2022/07/10 15:46,29
95,2022/07/10 15:46,34
95,2022/07/10 15:46,35
96,2022/07/10 15:47,34
97,2022/07/10 15:47,16
97,2022/07/10 15:47,16
97,2022/07/10 15:47,19
97,2022/07/10 15:47,19
97,2022/07/10 15:47,19
97,2022/07/10 15:47,24
97,2022/07/10 15:47,26
98,2022/07/10 15:47,20
98,2022/07/10 15:47,21
99,2022/07/10 15:48,15
100,2022/07/10 15:50,11
100,2022/07/10 15:50,13
100,2022/07/10 15:50,13
100,2022/07/10 15:50,14
101,2022/07/10 15:52,43
102,2022/07/10 15:52,11
103,2022/07/10 15:53,13
103,2022/07/10 15:53,14
104,2022/07/10 15:53,10
105,2022/07/10 15:57,48
106,2022/07/10 15:59,10
106,2022/07/10 15:59,11
107,2022/07/10 16:00,11
107,2022/07/10 16:00,12
107,2022/07/10 16:00,14
107,2022/07/10 16:00,15
108,2022/07/10 16:00,37
109,2022/07/10 16:02,12
110,2022/07/10 16:03,12
110,2022/07/10 16:03,14
110,2022/07/10 16:03,41
111,2022/07/10 16:04,12
111,2022/07/10 16:04,12
111,2022/07/10 16:04,14
112,2022/07/10 16:04,37
113,2022/07/10 16:05,12
113,2022/07/10 16:05,12
113,2022/07/10 16:05,12
113,2022/07/10 16:05,12
113,2022/07/10 16:05,40
114,2022/07/10 16:05,40
115,2022/07/10 16:05,34
116,2022/07/10 16:06,10
117,2022/07/10 16:08,36
117,2022/07/10 16:08,39
118,2022/07/10 16:11,34
118,2022/07/10 16:11,40
119,2022/07/10 16:13,45
120,2022/07/10 16:13,42
121,2022/07/10 16:14,37
122,2022/07/10 16:15,36
123,2022/07/10 16:23,43
123,2022/07/10 16:23,61
124,2022/07/10 16:24,32
124,2022/07/10 16:24,34
125,2022/07/10 16:24,45
126,2022/07/10 16:31,38
127,2022/07/10 16:31,38
128,2022/07/10 16:32,37
128,2022/07/10 16:32,42
129,2022/07/10 16:33,49
130,2022/07/10 16:35,34
130,2022/07/10 16:35,47
131,2022/07/10 16:36,48
132,2022/07/10 16:36,37
132,2022/07/10 16:36,43
133,2022/07/10 16:38,30
134,2022/07/10 16:39,25
134,2022/07/10 16:39,33
135,2022/07/10 16:40,36
135,2022/07/10 16:40,43
136,2022/07/10 16:40,51
137,2022/07/10 16:41,48
138,2022/07/10 16:41,46
138,2022/07/10 16:41,47
139,2022/07/10 16:42,45
139,2022/07/10 16:42,49
140,2022/07/10 16:42,45
141,2022/07/10 16:43,29
142,2022/07/10 16:44,35
143,2022/07/10 16:45,39
143,2022/07/10 16:45,44
144,2022/07/10 16:48,40
144,2022/07/10 16:48,44
145,2022/07/10 16:50,49
146,2022/07/10 16:51,37
146,2022/07/10 16:51,46
146,2022/07/10 16:51,47
147,2022/07/10 16:55,44
148,2022/07/10 16:59,41
149,2022/07/10 17:00,48
150,2022/07/10 17:01,39
150,2022/07/10 17:01,39
151,2022/07/10 17:03,49
152,2022/07/10 17:04,48
153,2022/07/10 17:06,43
154,2022/07/10 17:06,50
155,2022/07/10 17:07,48
155,2022/07/10 17:07,48
156,2022/07/10 17:08,43
156,2022/07/10 17:08,44
156,2022/07/10 17:08,47
157,2022/07/10 17:09,42
