record_number,date_time,recorded_speeds
4,2022/07/08 18:39,49
5,2022/07/08 18:41,26
5,2022/07/08 18:41,33
5,2022/07/08 18:41,45
5,2022/07/08 18:41,49
6,2022/07/08 18:43,49
6,2022/07/08 18:43,52
7,2022/07/08 18:47,44
8,2022/07/08 18:48,52
9,2022/07/08 18:49,51
10,2022/07/08 18:50,42
11,2022/07/08 18:53,49
12,2022/07/08 18:54,46
12,2022/07/08 18:54,50
13,2022/07/08 18:55,44
14,2022/07/08 18:57,38
14,2022/07/08 18:57,48
15,2022/07/08 19:02,33
15,2022/07/08 19:02,67
16,2022/07/08 19:03,43
16,2022/07/08 19:03,47
16,2022/07/08 19:03,53
17,2022/07/08 19:04,45
17,2022/07/08 19:04,53
18,2022/07/08 19:05,40
19,2022/07/08 19:06,56
20,2022/07/08 19:07,32
20,2022/07/08 19:07,44
21,2022/07/08 19:07,45
22,2022/07/08 19:09,44
23,2022/07/08 19:11,40
24,2022/07/08 19:12,45
25,2022/07/08 19:14,39
26,2022/07/08 19:15,46
27,2022/07/08 19:16,46
27,2022/07/08 19:16,46
28,2022/07/08 19:18,38
29,2022/07/08 19:21,40
30,2022/07/08 19:23,38
31,2022/07/08 19:27,49
32,2022/07/08 19:28,41
32,2022/07/08 19:28,49
33,2022/07/08 19:29,46
34,2022/07/08 19:31,46
35,2022/07/08 19:32,48
36,2022/07/08 19:34,42
36,2022/07/08 19:34,43
37,2022/07/08 19:36,46
37,2022/07/08 19:36,48
38,2022/07/08 19:37,41
38,2022/07/08 19:37,44
38,2022/07/08 19:37,51
39,2022/07/08 19:40,38
40,2022/07/08 19:41,48
41,2022/07/08 19:44,39
42,2022/07/08 19:46,31
43,2022/07/08 19:49,36
44,2022/07/08 19:52,50
45,2022/07/08 19:53,33
45,2022/07/08 19:53,37
46,2022/07/08 19:54,44
47,2022/07/08 19:59,41
48,2022/07/08 20:02,40
49,2022/07/08 20:03,45
50,2022/07/08 20:04,44
51,2022/07/08 20:05,37
51,2022/07/08 20:05,41
51,2022/07/08 20:05,45
51,2022/07/08 20:05,49
52,2022/07/08 20:06,38
53,2022/07/08 20:06,42
54,2022/07/08 20:09,48
55,2022/07/08 20:13,46
56,2022/07/08 20:14,45
56,2022/07/08 20:14,49
57,2022/07/08 20:14,46
58,2022/07/08 20:18,44
59,2022/07/08 20:19,51
60,2022/07/08 20:21,44
61,2022/07/08 20:25,28
61,2022/07/08 20:25,36
62,2022/07/08 20:27,41
63,2022/07/08 20:30,48
64,2022/07/08 20:33,41
65,2022/07/08 20:35,42
65,2022/07/08 20:35,45
66,2022/07/08 20:36,41
67,2022/07/08 20:37,45
68,2022/07/08 20:38,42
68,2022/07/08 20:38,45
