record_number,date_time,recorded_speeds
4,2022/07/09 13:21,35
5,2022/07/09 13:23,48
6,2022/07/09 13:23,38
7,2022/07/09 13:24,47
8,2022/07/09 13:24,43
9,2022/07/09 13:25,39
10,2022/07/09 13:25,48
11,2022/07/09 13:26,38
12,2022/07/09 13:26,50
13,2022/07/09 13:27,51
14,2022/07/09 13:28,37
15,2022/07/09 13:28,48
16,2022/07/09 13:29,49
17,2022/07/09 13:30,37
18,2022/07/09 13:30,48
19,2022/07/09 13:31,48
20,2022/07/09 13:32,40
21,2022/07/09 13:33,45
21,2022/07/09 13:33,47
22,2022/07/09 13:34,52
23,2022/07/09 13:34,35
23,2022/07/09 13:34,39
24,2022/07/09 13:35,46
24,2022/07/09 13:35,46
25,2022/07/09 13:37,48
26,2022/07/09 13:37,47
27,2022/07/09 13:38,52
28,2022/07/09 13:39,53
29,2022/07/09 13:40,31
30,2022/07/09 13:41,36
30,2022/07/09 13:41,45
31,2022/07/09 13:42,34
31,2022/07/09 13:42,48
32,2022/07/09 13:44,46
33,2022/07/09 13:44,53
34,2022/07/09 13:46,42
34,2022/07/09 13:46,43
34,2022/07/09 13:46,46
35,2022/07/09 13:47,39
35,2022/07/09 13:47,41
36,2022/07/09 13:49,43
37,2022/07/09 13:50,37
37,2022/07/09 13:50,42
38,2022/07/09 13:51,42
38,2022/07/09 13:51,44
39,2022/07/09 13:51,41
40,2022/07/09 13:52,46
40,2022/07/09 13:52,49
41,2022/07/09 13:54,49
42,2022/07/09 13:55,47
43,2022/07/09 13:56,40
44,2022/07/09 13:59,42
45,2022/07/09 13:59,44
45,2022/07/09 13:59,49
46,2022/07/09 13:59,44
47,2022/07/09 14:01,43
48,2022/07/09 14:02,44
48,2022/07/09 14:02,47
49,2022/07/09 14:02,51
50,2022/07/09 14:03,44
51,2022/07/09 14:05,45
52,2022/07/09 14:07,45
53,2022/07/09 14:07,51
53,2022/07/09 14:07,53
54,2022/07/09 14:08,51
55,2022/07/09 14:10,32
55,2022/07/09 14:10,50
56,2022/07/09 14:11,40
56,2022/07/09 14:11,44
57,2022/07/09 14:12,34
