,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29,bucket_30
0,2022/07/07 15:36,4,2,1,1,41,1,b'\x82\x05',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/07 15:38,5,2,1,1,43,1,b'\x1e)',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/07 15:39,6,2,1,1,50,1,b'\x00\xc4',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/07 15:40,7,2,1,1,31,1,b'\xe4\xd8',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/07 15:42,8,2,1,1,46,1,b'\xd0\xf1',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/07 15:42,9,3,1,1,45,1,b'\x08O',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/07 15:43,10,2,1,1,34,1,b'\x98j',1,"[34, 41]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/07 15:44,11,2,1,1,44,1,b'\x98\xf6',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/07 15:45,12,2,1,1,41,1,b'e\xb5',1,"[41, 47, 49]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/07 15:46,13,2,1,1,43,1,b'\x10\x06',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/07 15:48,14,2,1,1,47,1,b'\x9c\xca',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/07 15:48,15,3,1,1,54,1,b'\x9b\xe1',1,[54],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/07 15:49,16,1,1,1,42,1,b'G\x8c',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/07 15:50,17,2,1,1,39,1,b'&l',1,"[39, 43]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/07 15:50,18,3,1,1,49,1,b'\xae\xf0',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
