,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27,bucket_28,bucket_29
0,2022/07/12 00:16,4,2,1,1,49,1,b'\x1a\xc1',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/12 00:17,5,2,1,1,36,1,b'\x01\xaf',1,[36],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/12 00:37,6,3,1,1,52,1,b'\x1c^',1,[52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/12 01:07,7,1,1,1,32,1,b'\x1e\x16',1,[32],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/12 01:13,8,3,1,1,56,1,b'k\x01',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/12 01:25,9,3,1,1,56,1,b'\nO',1,[56],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/12 01:39,10,2,1,1,39,1,b'\xde\xe8',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/12 02:35,11,3,1,1,34,1,b'\xc0\xdc',1,[34],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/12 02:39,12,3,1,1,46,1,b'R\xc6',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/12 02:47,13,2,1,1,41,1,b'|\xff',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/12 02:48,14,2,1,1,42,1,"b',)'",1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/12 02:50,15,2,1,1,47,1,b'\x91R',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/12 02:57,16,2,1,1,37,1,b'\xfdd',1,[37],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/12 02:59,17,2,1,1,47,1,b'\xb9\xad',1,[47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/12 03:08,18,2,1,1,49,1,b'\xf6\xa8',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/12 03:11,19,2,1,1,46,1,b'\xb9\x81',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022/07/12 03:31,20,1,1,1,30,1,b'\x17\x17',1,[30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022/07/12 03:34,21,2,1,1,42,1,b'\x08\n',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022/07/12 03:42,22,2,1,1,48,2,b'\x84\xda',2,"[48, 48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/12 03:45,23,2,1,1,48,1,b'\x1e\x97',1,[48],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
