,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26,bucket_27
0,2022/07/10 22:29,4,3,1,1,34,1,b'\xf8\x83',1,[34],,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022/07/10 22:35,5,3,1,1,39,1,b'\xc7\xb0',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022/07/10 22:59,6,2,1,1,48,1,b'\xed\xa1',1,[48],,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022/07/10 23:01,7,2,1,1,31,1,b'\xed\xd2',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022/07/10 23:02,8,2,1,1,40,1,b'\xbe\xfd',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022/07/10 23:15,9,2,1,1,43,1,b'\xb1[',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022/07/10 23:36,10,2,1,1,36,1,b'\x9d-',1,[36],,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022/07/10 23:43,11,3,1,1,39,1,b'\xbd\x8f',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022/07/10 23:47,12,2,1,1,45,1,b'\x9c\x85',1,"[45, 47]",0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022/07/10 23:58,13,2,1,1,38,1,b'\xe9\x82',1,[38],,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022/07/11 00:00,14,2,1,1,46,1,b'\x08w',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022/07/11 00:19,15,2,1,1,42,1,b'g\xa2',1,[42],,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022/07/11 00:39,16,3,1,1,39,1,b'z\xc2',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022/07/11 00:42,17,3,1,1,35,1,b'T3',1,[35],,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022/07/11 01:02,18,3,1,1,40,1,b'\xb4\xcd',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022/07/11 01:14,19,3,1,1,60,1,b'\xc6\xb2',1,[60],,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022/07/11 01:17,20,1,1,1,45,1,b'\x98\x81',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022/07/11 01:31,21,2,1,1,41,1,b'\xdf\x0e',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022/07/11 01:35,22,2,1,1,53,1,b'\xe9\x88',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/11 01:41,23,2,1,1,31,1,b'4\xb1',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022/07/11 01:55,24,2,1,1,58,1,b'\xf6\x96',1,[58],,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022/07/11 02:01,25,3,1,1,46,1,b'\xa5\xee',1,[46],,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022/07/11 02:04,26,2,1,1,32,1,b'\x0b7',1,[32],,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022/07/11 02:11,27,2,1,1,44,1,b'\x07\xb8',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022/07/11 02:20,28,3,1,1,36,1,b'\xf5\x19',1,[36],,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022/07/11 02:26,29,2,1,1,45,1,b'\x86*',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022/07/11 02:55,30,3,1,1,41,1,b'u\xa7',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022/07/11 03:02,31,2,1,1,31,1,b'J\xe7',1,[31],,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022/07/11 03:09,32,3,1,1,49,1,b'M\xf8',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022/07/11 03:15,33,2,1,1,43,1,b'\x98R',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022/07/11 03:18,34,2,1,1,44,1,b'\xdem',1,[44],,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022/07/11 03:36,35,3,1,1,45,1,b'\x12\xcc',1,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2022/07/11 03:42,36,2,1,1,41,1,b'\xbdH',1,[41],,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2022/07/11 03:46,37,2,1,1,23,1,b'\xf8\x1b',1,[23],,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022/07/11 03:55,38,3,1,1,49,1,b'f\x17',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022/07/11 04:01,39,3,1,1,50,1,b'\xfc\xd4',1,[50],,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022/07/11 04:02,40,2,1,1,45,1,b'Y;',1,"[45, 47]",0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,2022/07/11 04:03,41,2,1,1,39,1,b'\xb2\x11',1,[39],,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2022/07/11 04:08,42,3,1,1,43,1,b'\xbf*',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022/07/11 04:15,43,2,1,1,49,1,b'\x97\xcd',1,[49],,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2022/07/11 04:15,44,3,1,1,40,1,b'\xc3\xda',1,[40],,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2022/07/11 04:16,45,2,1,1,35,1,b'\xafb',1,[35],,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2022/07/11 04:20,46,1,1,1,36,1,b'$8',1,[36],,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2022/07/11 04:24,47,2,1,1,54,1,b'\xa2\xa4',1,[54],,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2022/07/11 04:27,48,2,1,1,37,1,b'\xc6\xd7',1,[37],,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2022/07/11 04:28,49,3,1,1,53,1,b'@\xec',1,[53],,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2022/07/11 04:29,50,2,1,1,43,1,b'\xaa\xc9',1,[43],,,,,,,,,,,,,,,,,,,,,,,,,,,
